Date,Time,Site,Depth (cm),Instrument Used,Dissolved Oxygen (mg/L),Dissolved Oxygen (%),Conductivity-specific (mS/cm),Salinity (ppt),Temperature (C),Pressure (mmHg),pH,Turbidity (cm),Comments
01/06/2017,,PIER,160,YSI Pro2030,,0.6,,,16.1,762.06,,,Water level taken from hole in pier
01/06/2017,,PIER,100,YSI Pro2030,,60.0,,,13.9,762.06,,,Water level taken 2.44 m down from PIER deck
01/06/2017,,PIER,0,YSI Pro2030,,160.0,,,13.6,762.06,,,Water pH at surface = 9.3
01/08/2017,15:15,PIER,BoT,YSI Pro2030,,,,,,,,,
01/08/2017,,PIER,50,YSI Pro2030,,,,,,,,,
01/08/2017,,PIER,100,YSI Pro2030,,,,,,,,,
01/08/2017,,PIER,0,YSI Pro2030,,,,,,,,,
01/09/2017,13:22,,,YSI Pro2030,,,,,,,,,"Berm to ocean broke about 9-11 am. Water level dropped 24"" from high water leve 2.56 m from PIER deck so water rose about 2 ft during night with the rain"
01/09/2017,11:00,PIER,10,YSI Pro2030,,103.0,96.2,,18.9,766.1,9.0,,Water level measured from pier post
01/09/2017,11:00,PIER,60,YSI Pro2030,,98.0,95.8,,18.7,766.0,,,
01/09/2017,11:00,PIER,110,YSI Pro2030,,90.0,95.3,,18.4,765.7,,,
01/09/2017,11:00,PIER,160,YSI Pro2030,,87.0,95.0,,18.3,765.6,,,
01/09/2017,11:00,PIER,210,YSI Pro2030,,81.0,95.2,,18.3,765.4,,,
01/16/2017,,CUL1,10,YSI Pro2030,,44.0,,,13.8,762.81,,,
01/16/2017,,MO1,10,YSI Pro2030,,88.0,,,15.5,763.56,,,Water ph = 8.5
01/16/2017,,MO1,10,YSI Pro2030,,114.0,,,17.1,762.81,,,
01/16/2017,,PIER,0,YSI Pro2030,,108.0,,,13.5,763.56,,,Down from PIER deck. Flout out of Slough into ocean
01/16/2017,,PIER,??,YSI Pro2030,,102.0,,,15.1,763.56,,,
01/16/2017,,PIER,??,YSI Pro2030,,77.0,,,15.8,763.56,,,
01/25/2017,12:50,VBR1,60,YSI Pro2030,,82.0,,,13.6,768.64,,,Data loggers were used at same time
01/25/2017,12:50,VBR1,35,YSI Pro2030,,73.2,,,13.5,768.64,,,
01/25/2017,12:50,VBR1,10,YSI Pro2030,,77.0,,,13.5,768.64,,,
02/02/2017,14:30,VBR1,125,YSI Pro2030,,175.0,,,17.7,763.56,,100.0,Water level depth taken from bidege deck to top surface of water
02/02/2017,14:30,VBR1,100,YSI Pro2030,,241.0,,,18.2,763.56,,100.0,
02/02/2017,14:30,VBR1,10,YSI Pro2030,,157.0,,,16.1,762.81,,100.0,
02/09/2017,16:10,MO1,20,YSI Pro2030,,89.0,,,19.4,761.31,,,
02/09/2017,15:05,PIER,250,YSI Pro2030,,88.0,,,14.8,760.56,,40.0,"Second breaching event, water level down ~ 30 cm"
02/09/2017,15:15,PIER,200,YSI Pro2030,,88.0,,,14.9,760.56,,,
02/09/2017,15:25,PIER,150,YSI Pro2030,,88.0,,,15.0,760.56,,,
02/09/2017,15:35,PIER,100,YSI Pro2030,,93.0,,,17.4,760.56,,,
02/09/2017,15:45,PIER,10,YSI Pro2030,,108.0,,,20.6,760.56,,,
02/09/2017,13:45,VBR1,60,YSI Pro2030,,66.0,,,15.6,761.31,,80.0,Water level measured from bridge deck to water surface
02/09/2017,,VBR1,50,YSI Pro2030,,59.0,,,15.5,761.31,,80.0,Total water depth 90 cm
02/09/2017,,VBR1,40,YSI Pro2030,,56.0,,,15.5,761.31,,80.0,
02/09/2017,,VBR1,30,YSI Pro2030,,56.0,,,16.6,761.31,,80.0,
02/09/2017,,VBR1,20,YSI Pro2030,,56.0,,,17.7,761.31,,80.0,
02/09/2017,14:25,VBR1,10,YSI Pro2030,,54.0,,,17.8,761.31,,80.0,
04/12/2017,,MO1,20,YSI Pro2030,18.294,190.0,29.54485,,21.2,,,,
04/12/2017,15:00,PIER,15,YSI Pro2030,13.566,172.0,28.76442,,22.0,,,,
04/12/2017,15:05,PIER,115,YSI Pro2030,3.927,51.0,37.01468,,21.5,,,,
04/12/2017,15:10,PIER,215,YSI Pro2030,0.0,0.0,51.06242,,17.3,,,,
04/12/2017,15:15,PIER,315,YSI Pro2030,0.0,0.0,63.99526,,17.5,,,,
04/12/2017,13:00,VBR1,110,YSI Pro2030,,3.0,31.88614,,,,,,
04/12/2017,,VBR1,50,YSI Pro2030,,65.0,25.30823,,,,,,
04/12/2017,,VBR1,40,YSI Pro2030,,115.0,27.31505,,,,,,
04/12/2017,,VBR1,10,YSI Pro2030,,125.0,27.09207,,,,,,
04/17/2017,15:35,CUL1,15,YSI Pro2030,18.497,240.0,29.99081,,23.0,753.7,,,Total water depth = 30 cm
04/17/2017,,VBR1,10,YSI Pro2030,10.009,128.0,15.6086,,25.2,763.1,,65.0,Total water depth = 115cm
04/17/2017,,VBR1,100,YSI Pro2030,3.898,50.0,30.77124,,22.2,,,,
04/21/2017,15:00,BNS1,5,YSI Pro2030,17.572,261.0,32.10912,,30.4,754.4,,,
04/21/2017,,BNS1,20,YSI Pro2030,17.529,258.0,30.99422,,30.1,754.4,,,
04/21/2017,15:45,BNS2,5,YSI Pro2030,2.6,33.7,27.8725,,23.4,754.4,,,
04/21/2017,,BNS2,20,YSI Pro2030,1.441,18.7,27.64952,,23.5,754.4,,,
05/01/2017,15:50,BNS1,0,YSI Pro2030,3.77,50.5,34.272026,,25.5,758.76,,,
05/01/2017,15:55,BNS1,10,YSI Pro2030,3.78,50.7,37.304554,,26.0,758.76,,,
05/01/2017,16:05,BNS2,0,YSI Pro2030,1.24,1.53,34.717986,,22.0,758.99,,,
05/01/2017,16:10,BNS2,15,YSI Pro2030,0.74,8.9,34.015599,,21.0,758.29,,,
05/01/2017,15:15,CUL1,0,YSI Pro2030,14.25,208.6,38.57554,,29.5,758.46,,,
05/01/2017,15:20,CUL1,50,YSI Pro2030,17.34,226.0,37.973494,,22.5,758.3,,,
05/01/2017,14:25,MO1,0,YSI Pro2030,14.686,208.7,37.081574,,26.6,761.31,,,Heavy agal covering
05/01/2017,14:30,MO1,50,YSI Pro2030,10.793,139.4,37.036978,,21.2,761.31,,,
05/01/2017,14:55,PIER,0,YSI Pro2030,9.31,123.91,36.892041,,23.0,759.89,,,
05/01/2017,15:00,PIER,400,YSI Pro2030,0.07,0.8,55.52202,,17.2,759.06,,,"DO2 increased with depth until thermocline, 300 cm"
05/01/2017,15:30,VBR1,0,YSI Pro2030,8.56,103.8,25.118697,,25.5,758.69,,,Lots of small fish present
05/01/2017,15:35,VBR1,175,YSI Pro2030,9.81,130.0,35.609906,,23.3,758.69,,,
05/05/2017,14:25,CUL1,0,YSI Pro2030,,,,,,,,,Heavy algal covering
05/05/2017,15:30,VBR1,0,YSI Pro2030,,,,,,,,,
05/15/2017,16:15,BNS1,0,YSI Pro2030,13.45,194.0,46.803502,,26.2,759.7,,,
05/15/2017,16:20,BNS1,10,YSI Pro2030,13.62,195.3,45.956178,,26.1,759.8,,,
05/15/2017,16:35,BNS2,0,YSI Pro2030,3.73,52.3,39.824228,,23.5,759.9,,,
